<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RTKM,D,20160818,000000,84.1900000
RTKM,D,20160819,000000,84.6000000
RTKM,D,20160822,000000,84.6000000
RTKM,D,20160823,000000,83.5100000
RTKM,D,20160824,000000,83.0900000
RTKM,D,20160825,000000,82.7500000
RTKM,D,20160826,000000,82.3000000
RTKM,D,20160829,000000,82.2500000
RTKM,D,20160830,000000,82.4500000
RTKM,D,20160831,000000,82.1800000
RTKM,D,20160901,000000,81.9500000
RTKM,D,20160902,000000,81.2600000
RTKM,D,20160905,000000,82.0000000
RTKM,D,20160906,000000,82.8000000
RTKM,D,20160907,000000,82.8500000
RTKM,D,20160908,000000,82.4500000
RTKM,D,20160909,000000,81.6000000
RTKM,D,20160912,000000,81.7000000
RTKM,D,20160913,000000,81.5000000
RTKM,D,20160914,000000,80.9500000
RTKM,D,20160915,000000,81.3500000
RTKM,D,20160916,000000,81.2500000
RTKM,D,20160919,000000,81.3000000
RTKM,D,20160920,000000,81.0300000
RTKM,D,20160921,000000,80.0800000
RTKM,D,20160922,000000,80.7000000
RTKM,D,20160923,000000,80.1000000
RTKM,D,20160926,000000,80.1400000
RTKM,D,20160927,000000,79.2000000
RTKM,D,20160928,000000,79.1500000
RTKM,D,20160929,000000,79.2000000
RTKM,D,20160930,000000,78.8200000
RTKM,D,20161003,000000,78.8700000
RTKM,D,20161004,000000,78.8900000
RTKM,D,20161005,000000,79.8000000
RTKM,D,20161006,000000,79.4500000
RTKM,D,20161007,000000,79.5000000
RTKM,D,20161010,000000,80.2600000
RTKM,D,20161011,000000,80.7700000
RTKM,D,20161012,000000,80.2300000
RTKM,D,20161013,000000,79.7500000
RTKM,D,20161014,000000,79.9600000
RTKM,D,20161017,000000,79.3000000
RTKM,D,20161018,000000,79.6500000
RTKM,D,20161019,000000,79.2800000
RTKM,D,20161020,000000,78.6500000
RTKM,D,20161021,000000,78.8000000
RTKM,D,20161024,000000,79.1300000
RTKM,D,20161025,000000,78.8600000
RTKM,D,20161026,000000,78.7900000
RTKM,D,20161027,000000,78.8200000
RTKM,D,20161028,000000,79.3400000
RTKM,D,20161031,000000,79.0100000
RTKM,D,20161101,000000,81.5500000
RTKM,D,20161102,000000,81.5000000
RTKM,D,20161103,000000,81.1400000
RTKM,D,20161107,000000,81.2600000
RTKM,D,20161108,000000,81.0100000
RTKM,D,20161109,000000,82.0000000
RTKM,D,20161110,000000,82.1500000
RTKM,D,20161111,000000,81.0700000
RTKM,D,20161114,000000,82.3400000
RTKM,D,20161115,000000,81.5600000
RTKM,D,20161116,000000,83.0700000
RTKM,D,20161117,000000,82.5000000
RTKM,D,20161118,000000,82.7700000
RTKM,D,20161121,000000,82.6000000
RTKM,D,20161122,000000,82.6600000
RTKM,D,20161123,000000,82.9500000
RTKM,D,20161124,000000,83.9400000
RTKM,D,20161125,000000,84.2500000
RTKM,D,20161128,000000,83.5400000
RTKM,D,20161129,000000,83.7200000
RTKM,D,20161130,000000,84.6000000
RTKM,D,20161201,000000,84.8000000
RTKM,D,20161202,000000,85.5500000
RTKM,D,20161205,000000,86.2500000
RTKM,D,20161206,000000,86.0600000
RTKM,D,20161207,000000,86.9400000
RTKM,D,20161208,000000,87.9000000
RTKM,D,20161209,000000,87.4900000
RTKM,D,20161212,000000,88.3100000
RTKM,D,20161213,000000,88.2700000
RTKM,D,20161214,000000,86.6500000
RTKM,D,20161215,000000,86.7000000
RTKM,D,20161216,000000,84.8900000
RTKM,D,20161219,000000,84.7600000
RTKM,D,20161220,000000,84.7100000
RTKM,D,20161221,000000,84.8000000
RTKM,D,20161222,000000,83.8300000
RTKM,D,20161223,000000,83.0900000
RTKM,D,20161226,000000,83.3900000
RTKM,D,20161227,000000,83.6400000
RTKM,D,20161228,000000,83.9900000
RTKM,D,20161229,000000,83.9900000
RTKM,D,20161230,000000,84.0000000
RTKM,D,20170103,000000,85.6000000
RTKM,D,20170104,000000,84.8000000
RTKM,D,20170105,000000,84.7900000
RTKM,D,20170106,000000,85.2800000
RTKM,D,20170109,000000,84.9700000
RTKM,D,20170110,000000,85.2400000
RTKM,D,20170111,000000,85.1000000
RTKM,D,20170112,000000,85.7000000
RTKM,D,20170113,000000,85.5800000
RTKM,D,20170116,000000,84.9500000
RTKM,D,20170117,000000,84.5900000
RTKM,D,20170118,000000,84.3600000
RTKM,D,20170119,000000,84.5000000
RTKM,D,20170120,000000,84.3600000
RTKM,D,20170123,000000,84.8800000
RTKM,D,20170124,000000,84.0000000
RTKM,D,20170125,000000,82.3100000
RTKM,D,20170126,000000,83.2400000
RTKM,D,20170127,000000,83.8600000
RTKM,D,20170130,000000,83.5000000
RTKM,D,20170131,000000,83.4900000
RTKM,D,20170201,000000,84.3700000
RTKM,D,20170202,000000,83.9800000
RTKM,D,20170203,000000,84.5000000
RTKM,D,20170206,000000,83.8600000
RTKM,D,20170207,000000,84.7100000
RTKM,D,20170208,000000,84.7500000
RTKM,D,20170209,000000,85.3000000
RTKM,D,20170210,000000,85.0500000
RTKM,D,20170213,000000,85.2100000
RTKM,D,20170214,000000,84.6000000
RTKM,D,20170215,000000,82.4000000
RTKM,D,20170216,000000,81.7500000
RTKM,D,20170217,000000,80.0000000
RTKM,D,20170220,000000,79.1800000
RTKM,D,20170221,000000,79.9800000
RTKM,D,20170222,000000,79.0000000
RTKM,D,20170224,000000,80.0000000
RTKM,D,20170227,000000,78.9500000
RTKM,D,20170228,000000,78.0600000
RTKM,D,20170301,000000,78.7100000
RTKM,D,20170302,000000,79.0500000
RTKM,D,20170303,000000,79.1300000
RTKM,D,20170306,000000,79.3500000
RTKM,D,20170307,000000,76.5000000
RTKM,D,20170309,000000,75.5000000
RTKM,D,20170310,000000,74.9000000
RTKM,D,20170313,000000,76.4100000
RTKM,D,20170314,000000,77.0600000
